"","event","white","black","whiteelo","blackelo","whiterd","blackrd","timecontrol","date","time","whiteclock","blackclock","eco","plycount","result","moves","comp"
"2677","FICS rated standard game","ffrango","Lurking","2728","2546","0.0","0.0","900+0","2017.01.15","11:33:00","0:15:00.000","0:15:00.000","B89","89","1-0","1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 b6 5. Bd3 Bb7 6. Nf3 O-O 7. O-O d5 8. cxd5 exd5 9. a3 Bd6 10. Nb5 Nc6 11. Nxd6 Qxd6 12. Qc2 Rae8 13. Ng5 Ng4 14. g3 g6 15. Qe2 Nf6 16. Qd2 h6 17. Nf3 Ne4 18. Qe2 Bc8 19. Nd2 Nxd4 20. exd4 Nxg3 21. fxg3 Rxe2 22. Bxe2 Re8 23. Bb5 c6 24. Bd3 Bh3 25. Rd1 Qf6 26. Kh1 Qf2 27. Rg1 Re1 28. Bf1 Rxf1 29. Nxf1 Qf3+ 30. Rg2 Qxg2# {White checkmated} 0-1","black"
"2678","FICS rated standard game","PpPsychosocial","MortimerBlackwell","1720","2331","0.0","0.0","1800+10","2017.01.15","11:14:00","0:30:00.000","0:30:00.000","D45","32","0-1","1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O d6 6. Bxc6+ bxc6 7. d4 exd4 8. Qxd4 Be7 9. e5 c5 10. Qd1 dxe5 11. Qxd8+ Bxd8 12. Nxe5 Nd5 13. c4 Nb4 14. Nc3 Bf5 15. Bf4 f6 16. Nf3 Nd3 17. Bc1 Be7 18. Nh4 Be6 19. Nd5 Bxd5 20. cxd5 Rd8 21. Nf5 Rxd5 22. Rd1 g6 23. Nxe7 Kxe7 24. Be3 c4 25. Rd2 Rb8 26. b3 c3 27. Rc2 c5 28. Rxc3 Rbd8 29. a3 Nf4 30. Bxc5+ Kf7 31. Rcc1 Nd3 32. Rc3 Rxc5 33. Rc4 Rxc4 34. bxc4 Rc8 35. Rb1 Rxc4 36. f3 g5 37. Kf1 Kg6 38. Rd1 Rc3 39. Ra1 Rc2 40. Rd1 Nf4 41. g3 Nh3 42. Rd6 Rxh2 43. Ke1 Rf2 44. f4 g4 45. Rd3 Rf3 46. Rxf3 gxf3 47. Kd2 f2 48. Ke2 Kf5 49. Kf1 Ke4 50. Kg2 Ke3 51. g4 Ke2 52. Kxh3 f1=Q+ 53. Kg3 Qf3+ 54. Kh4 Qxf4 55. Kh3 h6 56. Kg2 Qxg4+ 57. Kh2 Kf2 58. Kh1 Qg2# {White checkmated} 0-1","black"
"2679","FICS rated blitz game","Moooooooooon","Floyd","1682","2335","0.0","0.0","300+0","2017.01.15","11:45:00","0:05:00.000","0:05:00.000","C56","22","0-1","1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d3 Nf6 6. d4 d5 7. Bf4 Be7 8. Bd3 Bg4 9. h3 Be6 10. O-O O-O 11. Nc3 Nbd7 12. Ng5 a6 13. Qe2 Bxh3 14. Nxh3 c5 15. Qf3 c4 16. Bf5 Nb6 17. a4 a5 18. Nb5 g6 19. Bc7 Qc8 {Black resigns} 1-0","black"
"2680","FICS rated blitz game","Floyd","Moooooooooon","2334","1693","0.0","0.0","300+0","2017.01.15","11:41:00","0:05:00.000","0:05:00.000","C87","52","1-0","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. Be3 a6 7. Nxc6 dxc6 8. Qg4 Nf6 9. Qg3 Qxg3 10. hxg3 Ng4 11. Bb6 Bb4 12. a3 Bxc3+ 13. bxc3 e5 14. f3 Nf6 15. Bc7 Nd7 16. Be2 b6 17. Rb1 Ra7 18. Bd6 c5 19. Rh5 f6 20. Kf2 Bb7 21. g4 h6 22. Bc4 g6 23. Rh3 h5 24. gxh5 Rxh5 25. Rbh1 b5 26. Rxh5 gxh5 27. Be6 Nf8 28. Bf5 c4 29. Rxh5 Kf7 30. Bc5 Ra8 31. Bxf8 Bxe4 32. Bxe4 Rxf8 33. Rh7+ Ke6 34. Ra7 Rd8 35. Rxa6+ Rd6 36. Rxd6+ Kxd6 37. g4 Kc7 38. Ke3 Kb6 39. f4 Kc7 40. fxe5 fxe5 41. g5 Kd6 42. g6 Ke6 43. Kf3 Kf6 44. Kg4 Ke6 45. Kg5 b4 46. cxb4 Ke7 47. Kf5 c3 48. a4 Ke8 49. Kf6 Kd8 50. b5 Kd7 51. g7 Kc7 52. a5 Kd6 53. g8=Q Kc5 54. Qd5+ Kb4 55. a6 Ka5 56. Bd3 e4 57. b6+ Kxb6 58. Qb5+ Kc7 59. Bxe4 Kd8 60. a7 Kc7 61. Qc6+ Kd8 62. Qb7 Ke8 63. Qc8# {Black checkmated} 1-0","white"
"2681","FICS rated blitz game","Knightsmasher","Moooooooooon","2360","1683","0.0","0.0","180+0","2017.01.15","11:26:00","0:03:00.000","0:03:00.000","C49","55","1-0","1. e4 d6 2. d4 e6 3. Nc3 d5 4. exd5 exd5 5. Nf3 Nf6 6. Bg5 c6 7. Qe2+ Be6 8. O-O-O h6 9. Bf4 Nbd7 10. Ne5 Be7 11. Re1 O-O 12. Nxf7 Bxf7 13. Qxe7 Qa5 14. Bd3 c5 15. Kb1 cxd4 16. b4 Qa3 17. Nb5 Qa4 18. Nc7 Rac8 19. Bb5 Qa3 20. Bxd7 Nxd7 21. Qxd7 Qxb4+ 22. Kc1 d3 23. Qf5 Bg6 24. Qxd5+ Kh7 25. Bd6 Qc3 26. Kb1 Qxc2+ 27. Ka1 Qc3+ 28. Kb1 d2+ 29. Re4 Rfd8 30. Nb5 Qc2+ 31. Ka1 Qc1+ 32. Rxc1 dxc1=Q# {White checkmated} 0-1","white"
"2682","FICS rated blitz game","mscp","foosballfan","1729","2326","0.0","0.0","300+0","2017.01.15","11:09:00","0:05:00.000","0:05:00.000","A80","106","0-1","1. e4 d6 2. d4 Nf6 3. Bd3 e5 4. d5 Be7 5. c4 Nbd7 6. b4 O-O 7. a4 a5 8. b5 Nc5 9. Nc3 Bg4 10. f3 Bd7 11. Be3 Nxd3+ 12. Qxd3 Nh5 13. Nge2 f5 14. O-O-O f4 15. Bd2 b6 16. Kc2 Bg5 17. g4 Nf6 18. Be1 Qe7 19. h4 Nxg4 20. fxg4 f3 21. hxg5 fxe2 22. Qxe2 Qxg5 23. Bd2 Qxg4 24. Qh2 Qg6 25. Rdg1 Bg4 26. Rxg4 Qxg4 27. Qxh7+ Kf7 28. Rf1+ Ke7 29. Rh1 Kf7 30. Rh5 Rh8 31. Rf5+ Ke7 {White resigns} 0-1","white"
"2683","FICS rated standard game","sentiger","JuniorLurking","1916","2121","0.0","0.0","900+0","2017.01.15","11:04:00","0:15:00.000","0:15:00.000","A00","10","0-1","1. e4 d6 2. d4 g6 3. Nc3 Bg7 4. f4 e6 5. Nf3 Nf6 6. Bc4 c6 7. e5 Nd5 8. O-O b5 9. Nxd5 exd5 10. Bd3 O-O 11. a4 b4 12. Be3 dxe5 13. Nxe5 Bb7 14. f5 Nd7 15. fxg6 hxg6 16. Ng4 Nf6 17. Bg5 {Black resigns} 1-0","black"
"2684","FICS rated standard game","chesspickle","foosballfan","2232","2310","0.0","0.0","720+5","2017.01.15","10:55:00","0:12:00.000","0:12:00.000","B30","61","1-0","1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Bd7 5. f4 Qb6 6. Nf3 Bb5 7. Be2 Nc6 8. Bxb5 Qxb5 9. a4 Qb6 10. O-O Rc8 11. a5 Nxa5 12. dxc5 Bxc5+ 13. Kh1 Nb3 14. Ra2 Ne7 15. Ng5 h6 16. Qh5 O-O 17. Nd2 hxg5 18. fxg5 Nf5 19. Rf3 Nxc1 20. Rh3 Nh6 21. gxh6 Nxa2 22. hxg7 f6 23. Qg6 Rf7 24. Rh8# {Black checkmated} 1-0","white"
"2685","FICS rated standard game","Virgodaddy","Sillycon","1878","2367","0.0","0.0","900+0","2017.01.15","10:44:00","0:15:00.000","0:15:00.000","B10","74","0-1","1. d4 d5 2. c4 e6 3. Nf3 Nc6 4. Nc3 Be7 5. Bd2 Nf6 6. e3 a6 7. a3 O-O 8. Qc2 h6 9. h3 Qd7 10. Rc1 dxc4 11. Bxc4 b6 12. O-O Bb7 13. Ne2 Rac8 14. Bd3 Rfe8 15. e4 Red8 16. Qb1 Nh5 17. e5 f5 18. exf6 Nxf6 19. Bc4 Bd6 20. Rfe1 Re8 21. Nf4 Nxd4 22. Nxd4 Bxf4 23. Bxf4 Qxd4 24. Be5 Qh4 25. Bg3 Qh5 26. Bb3 Qf7 27. Bc2 Red8 28. Bg6 Qe7 29. Qc2 a5 30. Re5 Rd6 31. Rce1 Bd5 32. R5e3 Rc6 33. Qd1 Rd8 34. Rd3 Rd7 35. Be5 Rc4 36. b3 Rc5 37. Qb1 Bb7 38. Rde3 Nd5 39. Rg3 Nf6 40. Qb2 Rcd5 41. Bxf6 Qxf6 42. Qxf6 gxf6 43. h4 e5 44. Bf5+ Kf7 45. Bxd7 Rxd7 46. b4 axb4 47. axb4 Rd2 48. Rc1 Rd7 49. b5 Be4 50. Rgc3 Bd3 51. h5 Bxb5 52. Rxc7 e4 53. Rxd7+ Bxd7 54. Kh2 Bg4 55. Kg3 Bxh5 56. Rb1 Be2 57. Rxb6 Bd3 58. Rb7+ Kg6 59. Kf4 h5 60. Rb8 Kf7 61. Rd8 Bc2 62. Rd5 Kg6 63. g3 Bb1 64. Rd6 Bc2 65. Rd8 Kg7 66. Rd5 Kg6 67. Rd4 Kf7 68. Rd2 Bb1 69. Rb2 Bd3 70. Rb7+ Kg6 71. Rb6 Kg7 72. Rd6 Bb1 73. Rd1 Bc2 74. Rd7+ Kh6 75. Rd2 Bb1 76. Rb2 Bd3 77. Rb4 Kg6 78. Rb8 Kh6 79. Rh8+ Kg6 80. Ra8 Kf7 81. Ra5 Kg6 82. Ra4 Bc2 83. Ra2 Bb1 84. Ra8 Bc2 85. Re8 Kf7 86. Rb8 Kg6 87. Rb6 Bd3 88. Ke3 Kg7 89. Re6 Kf7 90. Rd6 Bc2 91. Rd8 Kg6 92. Rg8+ Kf7 93. Rc8 Bb1 94. Rh8 Kg6 95. Rb8 Bc2 96. Kf4 Kf7 97. Rh8 Kg6 98. Rc8 Bb1 99. Re8 Bd3 100. Rg8+ Kh6 101. Rc8 Kg7 102. Rc6 Kg6 103. Ke3 Bb1 104. Rc7 Kg5 105. Rg7+ Kh6 106. Rg8 Bd3 107. Rd8 Bc2 108. Rc8 Bb1 109. Rc1 Bd3 110. f3 f5 111. Rc6+ Kg7 112. Rd6 Bc2 113. Kf4 Kh7 114. Rd7+ Kg6 115. Rc7 Bd3 116. Rc6+ Kg7 117. Rd6 Bc2 118. Rd2 Bb1 119. fxe4 fxe4 120. Rd7+ Kg6 121. Rd6+ Kg7 122. Kg5 Kf7 123. Rh6 Bc2 124. Rh7+ Ke8 125. Rxh5 Kf7 126. Kf4 Bd3 127. g4 Kg6 128. Rg5+ Kf7 129. Rf5+ Kg6 130. g5 e3 131. Rf6+ Kh7 132. Kxe3 {Black resigns} 1-0","black"
"2686","FICS rated standard game","ArasanX","carlucci","2732","2153","0.0","0.0","900+5","2017.01.15","10:36:00","0:15:00.000","0:15:00.000","C40","81","1-0","1. e4 d6 2. d4 Nf6 3. Bd3 e5 4. d5 Be7 5. c4 Nbd7 6. b4 O-O 7. a4 a5 8. b5 Nc5 9. Ba3 Nfxe4 10. Bxc5 Nxc5 11. Bc2 Bg5 12. Nc3 Bd7 13. Ne4 b6 14. Nxc5 dxc5 15. h4 Bf6 16. g4 h6 17. g5 hxg5 18. hxg5 Bxg5 19. Bh7+ Kh8 20. Qd3 Bh6 21. Bf5 Qc8 22. Be4 f5 23. Qe3 fxe4 24. Rxh6+ Kg8 25. Rg6 Rf6 26. Rg3 Bg4 27. Qg5 Qf5 28. Rxg4 Qxf2+ 29. Kd1 Qf1+ 30. Kc2 Qxc4+ 31. Kb1 Qb3+ 32. Kc1 Rf1+ 33. Kd2 Qd3# {White checkmated} 0-1","white"
"2687","FICS rated standard game","MortimerBlackwell","yayan","2330","1742","0.0","0.0","900+10","2017.01.15","10:33:00","0:15:00.000","0:15:00.000","B09","45","1-0","1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 d6 5. d4 exd4 6. cxd4 Bb4+ 7. Bd2 Bxd2+ 8. Nbxd2 Nf6 9. O-O O-O 10. Re1 Be6 11. d5 {Black resigns} 1-0","white"
"2688","FICS rated standard game","yayan","MortimerBlackwell","1744","2329","0.0","0.0","900+10","2017.01.15","10:03:00","0:15:00.000","0:15:00.000","C39","48","0-1","1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. f4 a6 7. Be3 b5 8. a3 Bb7 9. Bd3 Nbd7 10. Qd2 Nc5 11. Ndxb5 Nxd3+ 12. Qxd3 axb5 13. Qxb5+ Qd7 14. Qd3 Qc6 15. O-O-O Nxe4 16. Nxe4 Qxe4 17. Qb5+ Bc6 18. Qb3 Qxg2 19. Rhe1 Qxh2 20. Bb6 Qxf4+ 21. Kb1 Qa4 22. Rxe6+ fxe6 23. Qxe6+ Be7 24. Rxd6 Be4 25. Rd2 Rf8 26. Bc5 Bxc2+ 27. Rxc2 Qd7 28. Qe2 Rd8 29. Rc1 Qd3+ {White resigns} 0-1","black"
"2689","FICS rated standard game","JuniorLurking","SAILISP","2118","1883","0.0","0.0","900+0","2017.01.15","10:07:00","0:15:00.000","0:15:00.000","C96","83","1-0","1. e4 e5 2. Nc3 d6 3. Nf3 Nf6 4. Bc4 h6 5. O-O Be7 6. d4 exd4 7. Nxd4 O-O 8. Bf4 Bd7 9. Re1 Nc6 10. Nxc6 Bxc6 11. Qe2 Nd7 12. Bd5 Bxd5 13. exd5 Bf6 14. Ne4 Be5 15. Bxe5 Nxe5 16. Qh5 Nd7 17. Qe2 Nf6 18. Nxf6+ Qxf6 19. c3 Qd8 20. Qb5 b6 21. Qc6 Rb8 22. Re3 Qc8 23. Re7 Qb7 24. Rxc7 Qxc6 25. dxc6 Rfc8 26. Rxa7 Rxc6 27. Re1 d5 28. Ree7 Rf6 29. Rad7 Rf5 30. a3 b5 31. g4 Rf4 32. h3 h5 33. g5 g6 34. Rxd5 Rh4 35. Kg2 Rc4 36. Ree5 {Black resigns} 1-0","white"
"2690","FICS rated blitz game","NazleedA","Bliep","1700","2320","0.0","0.0","300+0","2017.01.15","10:24:00","0:05:00.000","0:05:00.000","C00","32","0-1","1. d4 e6 2. c4 c5 3. d5 exd5 4. cxd5 d6 5. Nc3 a6 6. Nf3 b6 7. e4 Bb7 8. Bg5 f6 9. Bf4 Be7 10. Rc1 g5 11. Be3 h5 12. Bc4 Nd7 13. O-O h4 14. Qd3 g4 15. Nd2 Ne5 16. Qc2 Qd7 17. Na4 Qc7 18. f4 gxf3 19. Nxf3 b5 20. Nxe5 fxe5 21. b4 bxa4 22. bxc5 dxc5 23. Qxa4+ Qd7 24. Qa5 Qd8 25. Qc3 Qd6 26. Rf5 Bf6 27. Be2 Rc8 28. Bxc5 Rxc5 29. Qxc5 Qxc5+ 30. Rxc5 Kd7 31. Ra5 Ke7 32. Bxa6 Bxa6 33. Rxa6 h3 34. Re6+ Kf7 35. Rexe5 hxg2 36. Re6 Kg6 37. a4 Rh5 38. Rxh5 Kxh5 39. e5 Bg5 40. d6 Kg4 41. Rg6 Nh6 42. h4 Kxh4 43. Kxg2 Ng4 44. e6 Ne3+ 45. Kf3 Nf5 46. d7 Nd4+ 47. Ke4 Nc6 48. e7 Nxe7 49. Rxg5 Kxg5 50. d8=Q {Black resigns} 1-0","black"
"2691","FICS rated standard game","Martinelichondobo","Knightsmasher","1701","2343","0.0","0.0","900+0","2017.01.15","10:24:00","0:15:00.000","0:15:00.000","A00","1","0-1","1. e4 e6 2. Nf3 d5 3. e5 d4 4. d3 c5 5. c3 Ne7 6. cxd4 cxd4 7. Qa4+ Nbc6 8. Nbd2 Bd7 9. Nxd4 Nxe5 10. Qb3 Nd5 11. N2f3 Bb4+ 12. Bd2 Nxf3+ 13. Nxf3 Bxd2+ 14. Nxd2 O-O 15. Be2 Qa5 16. Rd1 Ba4 17. Qxb7 Bxd1 18. Bxd1 {White resigns} 0-1","black"
"2692","FICS rated blitz game","Bliep","NazleedA","2319","1720","0.0","0.0","300+0","2017.01.15","10:18:00","0:05:00.000","0:05:00.000","E60","57","1-0","1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Bb4 5. e3 O-O 6. Bd3 c5 7. O-O Nc6 8. dxc5 Bxc5 9. a3 dxc4 10. Bxc4 Qe7 11. Qc2 Rd8 12. e4 Nd4 13. Nxd4 Bxd4 14. h3 Qc5 15. Bd3 Bd7 16. Bg5 Qxg5 {White resigns} 0-1","white"
"2693","FICS rated blitz game","pikozrout","Eatan","2179","1929","0.0","0.0","300+0","2017.01.15","10:13:00","0:05:00.000","0:05:00.000","A07","33","1-0","1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7 5. e5 Nfd7 6. h4 c5 7. Bxe7 Qxe7 8. Nb5 Na6 9. Nd6+ Kf8 10. Bxa6 bxa6 11. Nf3 Rb8 12. O-O a5 13. Re1 h6 14. Qd2 g6 {Black resigns} 1-0","white"
"2694","FICS rated standard game","MortimerBlackwell","Martinelichondobo","2328","1720","0.0","0.0","900+10","2017.01.15","10:01:00","0:15:00.000","0:15:00.000","A40","8","1-0","1. e4 e5 2. Nf3 Nf6 3. Nc3 Nc6 4. Bb5 Bb4 5. Nd5 Nxd5 6. exd5 e4 7. Qe2 O-O 8. dxc6 dxc6 9. Bc4 exf3 10. Qxf3 Re8+ 11. Kd1 Be6 12. Bd3 Qh4 13. h3 Bd5 14. Qg3 Qxg3 15. fxg3 Bxg2 16. Rh2 Bf3+ 17. Be2 Rxe2 18. Rxe2 Re8 19. c3 Bd6 20. d4 Rxe2 21. Bd2 Rh2+ 22. Kc2 Be4+ 23. Kb3 Rxd2 24. Re1 Bc2+ 25. Kc4 b5# {White checkmated} 0-1","white"
"2695","FICS rated standard game","Knightsmasher","yayan","2342","1746","0.0","0.0","900+0","2017.01.15","10:02:00","0:15:00.000","0:15:00.000","A00","0","1-0","1. Nf3 b6 2. e4 Bb7 3. Nc3 d6 4. d4 Nd7 5. Bc4 e6 6. d5 e5 7. Be3 Ngf6 8. h3 g6 9. b4 Bg7 10. O-O O-O 11. Rb1 Nh5 12. Qd2 f5 13. Bg5 Bf6 14. exf5 gxf5 15. Bh6 Bg7 16. Bxg7 Kxg7 17. Ng5 Nf4 18. Ne6+ Nxe6 19. dxe6 Nf6 20. Qg5+ Kh8 21. f3 f4 22. Qh6 Qe7 23. Rbd1 Rg8 24. Rde1 Rg6 25. Qh4 Rag8 26. Re2 Bc8 27. Rd2 Bxe6 28. Bxe6 Qxe6 29. Re1 Qf5 30. Kh2 Qg5 31. Qxg5 Rxg5 32. b5 a6 33. bxa6 Ra8 34. Nb5 Rxa6 35. Nxc7 Rxa2 36. Rxd6 Rxc2 37. Rxf6 Rgxg2+ 38. Kh1 Rh2+ 39. Kg1 Rhg2+ 40. Kh1 Rh2+ 41. Kg1 Rhg2+ 42. Kh1 {Game drawn by mutual agreement} 1/2-1/2","white"
"2696","FICS rated standard game","yayan","Knightsmasher","1748","2341","0.0","0.0","900+0","2017.01.15","09:38:00","0:15:00.000","0:15:00.000","C34","54","0-1","1. e4 e5 2. f4 exf4 3. Nf3 Nf6 4. e5 Nh5 5. Bc4 d5 6. exd6 Bxd6 7. O-O O-O 8. d4 Nc6 9. c3 Re8 10. Re1 Bg4 11. Nbd2 Nf6 12. Rxe8+ Qxe8 13. Qf1 Qe3+ 14. Qf2 Na5 15. Bf1 Be6 16. Qxe3 fxe3 17. Nb1 Bf4 18. Be2 Nc4 19. Na3 Nxa3 20. bxa3 Ne4 21. Rb1 Nxc3 22. Rxb7 Nxe2+ 23. Kf1 Nxc1 {White resigns} 0-1","black"
"2697","FICS rated lightning game","pikozrout","JMM","2168","1917","0.0","0.0","0+4","2017.01.15","09:45:00","0:10.000","0:10.000","B01","47","1-0","1. Nc3 Nf6 2. Nf3 d5 3. d4 Nbd7 4. Bf4 e6 5. g3 Bb4 {White resigns} 0-1","white"
"2698","FICS rated lightning game","JMM","pikozrout","1920","2165","0.0","0.0","0+4","2017.01.15","09:42:00","0:10.000","0:10.000","D04","36","0-1","1. e4 c5 2. Nf3 d6 3. Bc4 Nf6 4. d3 g6 5. Nc3 Bg7 6. Bf4 e5 7. Be3 O-O 8. Qd2 Bg4 9. h3 Bxf3 10. gxf3 Nc6 11. Bh6 Nd4 12. O-O-O Nxf3 13. Qe3 Bxh6 14. Qxh6 Rc8 15. h4 Ng4 16. Qd2 Nxd2 17. Rxd2 h6 18. Nd5 Rb8 19. a3 b5 20. Bb3 a5 21. f3 Nf6 22. Ne3 a4 23. Ba2 b4 24. axb4 cxb4 25. Rg2 b3 26. Bb1 bxc2 27. Ba2 Qb6 {White resigns} 0-1","black"
"2699","FICS rated standard game","Rookie","BrunoBreyer","2360","1767","0.0","0.0","1200+0","2017.01.15","09:21:00","0:20:00.000","0:20:00.000","B07","30","1-0","1. e4 e6 2. Nf3 d5 3. e5 c5 4. Be2 Nc6 5. O-O Nge7 6. Re1 a6 7. b3 Ng6 8. Bd3 Be7 9. Bxg6 hxg6 10. d3 b5 11. a4 b4 12. Qe2 Kf8 13. Qe3 Bb7 14. Qf4 Rh5 15. Nbd2 Qd7 16. Bb2 Kg8 17. h3 Rc8 18. Nf1 Rh8 19. Rad1 Bd8 20. Re2 Ne7 21. Rde1 Nf5 22. N1d2 Be7 23. Qg4 a5 24. Qf4 Rh6 25. Rc1 Qd8 26. Ree1 Rh8 27. Qg4 Rc6 28. Re2 Rc8 29. Rce1 Rh5 30. Rd1 Nh6 31. Qf4 Nf5 32. Rf1 Rh8 33. Qg4 Rh5 34. Rfe1 Rh8 35. Rd1 c4 36. dxc4 dxc4 37. bxc4 Qd7 38. Ra1 Qc6 39. c3 Rh4 40. Nxh4 Nxh4 41. f3 Qd7 42. cxb4 Qd3 43. Rf2 Nf5 44. Ra3 Qd8 45. Ra1 Bh4 46. g3 Bxg3 47. Rg2 Bh4 48. Ra3 Be1 49. Bc1 axb4 50. Rb3 Qb6+ 51. Kf1 Bh4 52. Bb2 {Black forfeits on time} 1-0","white"
"2700","FICS rated lightning game","pikozrout","JMM","2162","1923","0.0","0.0","0+4","2017.01.15","09:07:00","0:10.000","0:10.000","B01","35","1-0","1. e4 e5 2. Bc4 Nc6 3. Nf3 Bc5 4. c3 d6 5. d4 Bb6 6. dxe5 dxe5 7. Qxd8+ Kxd8 8. Bxf7 Nf6 9. Nbd2 Ke7 10. Bd5 Be6 11. Bxc6 bxc6 12. Nxe5 c5 13. Nef3 Rad8 14. e5 Nd5 15. Ne4 h6 16. Bd2 c4 17. Nd4 Rhf8 18. Nc6+ {Black resigns} 1-0","white"
"2701","FICS rated lightning game","JMM","pikozrout","1926","2159","0.0","0.0","0+4","2017.01.15","09:01:00","0:10.000","0:10.000","D03","52","0-1","1. e4 e5 2. Nf3 Nf6 3. d4 exd4 4. e5 Ne4 5. Qxd4 d5 6. exd6 Nxd6 7. Nc3 Nc6 8. Qf4 Be6 9. Bb5 Nxb5 10. Nxb5 Bb4+ 11. c3 Ba5 12. O-O O-O 13. Be3 a6 14. Nbd4 Qd5 15. Nxe6 fxe6 16. Qg4 Qf5 17. h3 Qxg4 18. hxg4 Rad8 19. Rfe1 Rfe8 20. Bf4 Bb6 21. Re2 Rd5 22. Rae1 Rf8 23. Bg3 Ra5 24. a3 Ra4 25. Re4 Rxe4 26. Rxe4 Re8 27. Kf1 Re7 28. b4 g6 29. c4 Ba7 30. c5 a5 31. Nd4 axb4 32. Nxc6 bxc6 33. axb4 Kf7 34. Ke2 Rd7 35. Be5 Bb8 36. g5 Rd8 37. Re3 Rd5 38. f4 Rd8 39. Ra3 Rf8 40. Ra6 Ke8 41. Rxc6 Kd7 42. Ra6 Kc8 43. b5 c6 44. Ra8 Kb7 45. Rxb8+ Rxb8 46. bxc6+ Kxc6 47. Bxb8 Kxc5 48. Ke3 Kd5 49. Be5 Kc4 50. Ke4 Kb3 51. Bd4 Kc4 52. Ke5 Kb5 53. Ba7 Kc6 54. Bg1 Kd7 55. Bc5 Kc6 {Black resigns} 1-0","black"
"2702","FICS rated standard game","GrafWelldone","GriffySr","2163","2198","0.0","0.0","900+0","2017.01.15","08:49:00","0:15:00.000","0:15:00.000","C07","142","0-1","1. Nf3 d5 2. d4 e6 3. g3 Nf6 4. Bg2 Be7 5. O-O O-O 6. c4 dxc4 7. Qc2 a6 8. a4 Bd7 9. Qxc4 Bc6 10. Bf4 Nd5 11. Bd2 Nd7 12. Qb3 Rb8 13. e3 N5f6 14. Nc3 Bd5 15. Nxd5 exd5 16. Rfc1 c6 17. Ng5 Re8 18. h3 Bd6 19. Bc3 Qe7 20. Be1 g6 21. Rab1 h6 22. Nf3 Ne4 23. Nd2 Nxd2 24. Bxd2 Kg7 25. Qc2 Bb4 26. Bxb4 Qxb4 27. b3 Nf6 28. Qc5 a5 29. Qxb4 axb4 30. Rb2 Ra8 31. Re2 g5 32. f3 h5 33. e4 h4 34. gxh4 gxh4 35. Kf2 Nh5 36. Ke3 f5 37. e5 f4+ 38. Kd3 Kf7 39. Rec2 Rg8 40. Rg1 Rg3 41. Re1 Ng7 42. Rd2 Nf5 43. Ra2 Ra5 44. Rc2 Ke6 45. Ree2 Ra8 46. Re1 Rc8 47. Rf2 c5 48. Rc1 Nxd4 49. Rxc5 Rxc5 50. Kxd4 Rc3 51. Rb2 Rc1 52. Rf2 b6 53. Bf1 Rd1+ 54. Bd3 Rxh3 55. Rf1 Rxf1 56. Bxf1 Rxf3 57. Bg2 Re3 58. Bxd5+ Ke7 59. Kc4 f3 60. e6 f2 61. Kd4 Re5 62. Kxe5 f1=Q 63. Bc4 Qe1+ 64. Kf4 h3 65. Bd5 h2 66. Be4 Qxe4+ 67. Kxe4 h1=Q+ 68. Kd4 Kd6 69. Ke3 Ke5 70. e7 Qh3+ 71. Kd2 Kd4 72. e8=Q Qh2+ 73. Kd1 Qh1+ 74. Kd2 Qh2+ 75. Kd1 Qh1+ 76. Kc2 {Black forfeits on time} 1-0","black"
"2703","FICS rated lightning game","pikozrout","JMM","2156","1929","0.0","0.0","0+4","2017.01.15","08:46:00","0:10.000","0:10.000","D45","73","1-0","1. e4 e5 2. Nc3 d6 3. Nf3 Nf6 4. Bc4 Be7 5. d4 exd4 6. Nxd4 O-O 7. Bf4 Nc6 8. Nxc6 bxc6 9. O-O Rb8 10. b3 Bb7 11. Bd3 Nd7 12. Qd2 Nc5 13. Rad1 Nxd3 14. cxd3 c5 15. Nd5 Bxd5 16. exd5 Rb4 17. Rfe1 Rd4 18. Re4 Rxd5 19. Qa5 g5 20. Bc1 f5 21. Re2 f4 22. Qxa7 Bf6 23. Qb7 Rf5 24. Qf3 Qa8 25. Qe4 Be5 26. Qc4+ R5f7 27. f3 g4 28. Rf1 Bd4+ 29. Kh1 Re8 30. Qc2 g3 31. hxg3 Rf6 32. Bxf4 Rxe2 33. Qxe2 Qd5 34. Qe8+ Rf8 35. Qd7 Qf5 36. Qxf5 Rxf5 37. g4 Rxf4 38. Kh2 Rf6 39. Re1 Bf2 40. Re8+ {Black forfeits on time} 1-0","white"
"2704","FICS rated standard game","Samisam","pikozrout","1944","2304","0.0","0.0","900+0","2017.01.15","08:33:00","0:15:00.000","0:15:00.000","A00","0","0-1","1. e4 e5 2. Nf3 Nf6 3. d4 exd4 {White forfeits on time} 0-1","black"
